,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,-80,75,55,45,l,1.0,2.1416624260027675,1.0,2,-73.75,red135,1.0,82.754013521661363,3.0,0,0,75.910669796918228,2,green45
1,-80,75,55,45,l,1.0,1.6583261705300174,1.0,2,-73.75,green45,1.0,89.345327785546033,3.0,0,0,83.002335430145649,2,green45
2,80,75,55,45,l,0.0,0.73337410072963394,1.0,2,14.6875,red45,-1.0,95.936640338910365,-3.0,0,0,89.593750614717464,0,red45
3,80,75,55,45,j,1.0,1.0500583714992899,-1.0,2,14.6875,red45,-1.0,102.52791269505269,-4.0,0,0,96.187681974395673,0,red45
4,-80,75,55,45,l,1.0,0.7500670666431688,1.0,2,-73.75,green45,1.0,109.11926116933955,4.0,0,0,102.7756267987188,2,green45
5,-80,75,55,135,l,0.0,1.0250534181186595,1.0,2,-73.75,green45,-1.0,116.21053822941121,-3.0,0,0,109.37187705351425,3,green135
6,-80,75,55,45,j,1.0,1.0083923819129268,-1.0,2,-73.75,red135,-1.0,122.8018140065933,-4.0,0,0,116.45976300743587,2,green45
7,80,75,55,135,l,1.0,0.85841910879025818,1.0,2,14.6875,red135,1.0,129.39315563880064,4.0,0,0,123.05178115035324,1,red135
8,80,75,55,135,l,1.0,0.74172257929330954,1.0,2,14.6875,red135,1.0,136.49277433535553,4.0,0,0,129.64791680030066,1,red135
9,80,75,55,45,j,1.0,0.82506624701909459,-1.0,2,14.6875,red45,-1.0,143.08407890629314,-3.25,0,0,136.74405943487182,0,red45
10,80,75,55,45,j,1.0,1.0917343391192844,-1.0,2,14.6875,green45,-1.0,149.68371513567945,-3.25,0,0,143.33906899240355,0,red45
11,-80,75,55,135,l,0.0,0.86671627175019239,1.0,2,-73.75,red135,-1.0,156.2750285443044,-4.0,0,0,149.93559407076646,3,green135
12,80,75,55,45,l,1.0,0.87505420210618468,1.0,2,14.6875,red45,1.0,163.36629705177529,3.25,0,0,156.52290514738252,0,red45
13,-80,75,55,135,l,0.0,1.3000349231188011,1.0,2,-73.75,green135,-1.0,169.96595637318387,-5.0,0,0,163.6221555119364,3,green135
14,-80,75,55,45,l,0.0,1.4250286155765934,1.0,2,-73.75,green45,-1.0,176.55726921163478,-2.5,0,0,170.21889554566224,2,green45
15,80,75,55,45,j,1.0,0.80008181987977878,-1.0,2,14.6875,red45,-1.0,183.65688192136986,-3.25,0,0,176.81216350861814,0,red45
16,-80,75,55,135,j,1.0,1.0833485141993151,-1.0,2,-73.75,green45,-1.0,190.2481862072209,-5.75,0,0,183.90821035406316,3,green135
17,-80,75,55,45,j,1.0,0.93339263136476802,-1.0,2,-73.75,red135,-1.0,196.83946939665657,-3.25,0,0,190.49923354443945,2,green45
18,80,75,55,45,j,1.0,0.6917394706797495,-1.0,2,14.6875,green135,-1.0,203.43917661262822,-3.25,0,0,197.09452305709783,0,red45
19,-80,75,55,135,l,1.0,0.65008317404135596,1.0,2,-73.75,red45,1.0,210.03878803947282,5.75,0,0,203.69395573458951,3,green135
20,-80,75,55,45,l,1.0,0.88340268066986027,1.0,2,-73.75,green45,1.0,216.63839119880322,2.6875,0,0,210.29305315013607,2,green45
21,-80,75,55,135,j,1.0,2.0083456276970537,-1.0,2,-73.75,green135,-1.0,223.7380629214822,-5.75,0,0,216.89367007772853,3,green135
22,80,75,55,45,j,0.0,0.89172065495768038,-1.0,2,14.6875,red45,1.0,230.82930463080538,2.6875,0,0,223.99052628427944,0,red45
23,-80,75,55,135,l,1.0,0.65839687202878849,1.0,2,-73.75,green135,1.0,237.92894613429507,5.0,0,0,231.08479076775257,3,green135
24,-80,75,55,45,j,1.0,0.61674713238426193,-1.0,2,-73.75,green45,-1.0,244.52859576275569,-3.25,0,0,238.18347323962462,2,green45
25,-80,75,55,45,j,1.0,0.59175557807793666,-1.0,2,-73.75,red45,-1.0,251.62821816543783,-3.25,0,0,244.7839273827185,2,green45
26,-80,75,55,45,j,0.0,0.72506752990921086,-1.0,2,-73.75,green45,1.0,258.72783030499977,3.25,0,0,251.88898353766854,2,green45
27,80,75,55,45,l,1.0,0.65009799854851735,1.0,2,14.6875,red135,1.0,265.31914342853725,3.671875,0,0,258.98044219796066,0,red45
28,80,75,55,45,j,0.0,0.84177004622688401,-1.0,2,14.6875,red45,1.0,271.91880217977268,3.671875,0,0,265.57601024031374,0,red45
29,80,75,55,45,l,1.0,0.80006728045827913,1.0,2,14.6875,green45,1.0,278.51844924245324,3.98828125,0,0,272.172689835661,0,red45
30,80,75,55,45,,,,,2,14.6875,red45,,285.61805967149394,3.98828125,0,0,278.77371244160986,0,red45
31,-80,75,55,135,,,,,2,-73.75,green135,,292.22603240580338,5.0,0,0,285.8865434807085,3,green135
32,-80,75,55,45,,,,,2,-73.75,green135,,298.83400514011282,-3.98828125,0,0,292.48755810422972,2,green45
33,80,75,55,135,l,1.0,0.70008110716298688,1.0,2,14.6875,red135,1.0,305.43366275100016,5.0,0,0,299.09486259534333,1,red135
34,80,75,55,135,j,1.0,0.85010313010934624,-1.0,2,14.6875,red135,-1.0,312.03330981368072,-5.0,0,0,305.69265431385975,1,red135
35,80,75,55,45,l,1.0,0.68340667188385851,1.0,2,14.6875,red45,1.0,318.64128653920397,3.98828125,0,0,312.29808150913414,0,red45
36,80,75,55,45,l,1.0,1.1500967156589468,1.0,2,14.6875,red135,1.0,325.74090409541259,3.98828125,0,0,318.90183895167866,0,red45
37,-80,75,55,45,j,1.0,0.83339220373454737,-1.0,2,-73.75,green135,-1.0,332.84886043723691,-3.7509765625,0,0,326.0052091039579,2,green45
38,80,75,55,135,l,1.0,0.70840877439877659,1.0,2,14.6875,red45,1.0,339.95682590183605,4.25,0,0,333.11058370073806,1,red135
39,-80,75,55,135,l,1.0,0.66673679799168895,1.0,2,-73.75,green135,1.0,346.55646384174179,4.25,0,0,340.21800750062994,3,green135
40,-80,75,55,135,l,1.0,0.50840820422490651,1.0,2,-73.75,green135,1.0,353.19777176244861,4.25,0,0,346.85127227061548,3,green135
41,-80,75,55,135,j,1.0,0.70006913352244737,-1.0,2,-73.75,green135,-1.0,359.79741255322187,-3.5,0,0,353.45654836994527,3,green135
42,-80,75,55,135,j,1.0,0.92505840713511134,-1.0,2,-73.75,green135,-1.0,366.90537146082625,-3.5,0,0,360.06045234704743,3,green135
43,80,75,55,135,l,0.0,1.9333478727539841,1.0,2,14.6875,red135,-1.0,373.50501196651294,-3.5,0,0,367.16628678865527,1,red135
44,80,75,55,135,l,1.0,0.52504500806116994,1.0,2,14.6875,red135,1.0,380.11299981041702,4.25,0,0,373.76718367137437,1,red135
45,80,75,55,45,j,1.0,0.691733483859025,-1.0,2,14.6875,red45,-1.0,386.73763187041095,-3.7509765625,0,0,380.39510648700434,0,red45
46,80,75,55,135,,,,,2,14.6875,green135,,393.85397688802186,4.25,0,0,387.0123111835228,1,red135
47,-80,75,55,135,,,,,2,-73.75,green135,,400.98688373166988,4.25,0,0,394.14601855059027,3,green135
48,-80,75,55,135,,,,,2,-73.75,green45,,407.61152405917801,-4.25,0,0,401.26571219643574,3,green135
49,80,75,55,135,,,,,2,14.6875,red135,,414.23616096564547,4.25,0,0,407.89557873310241,1,red135
50,-80,75,55,135,,,,,2,-73.75,green135,,420.86080072297955,-4.25,0,0,414.51816757680535,3,green135
51,80,75,55,45,,,,,2,14.6875,green45,,427.48545387938793,3.7509765625,0,0,421.14566931939771,0,red45
52,-80,75,55,135,,,,,2,-73.75,red45,,430.23530142928212,4.25,0,0,427.7657633694962,3,green135
