,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,80,75,55,45,l,1.0,1.5250977490977675,1.0,2,11.002281718750002,green135,1.0,65.568726560530195,5.2561786463223701,0,0,58.722135698411876,0,red45
1,-80,75,55,45,f,1.0,1.9833580646009068,1.0,1,-26.055657794511724,green45,1.0,72.168387022284151,-5.2561786463223701,0,0,65.828879566553951,2,green45
2,-80,75,55,45,j,1.0,1.4750388074244256,-1.0,2,-22.581403600263677,red135,-1.0,79.276345074627898,-5.2561786463223701,0,0,72.435357876445778,2,green45
3,80,75,55,135,l,1.0,1.9833329769753618,1.0,2,11.002281718750002,red135,1.0,86.375970613265963,4.6490151132951025,0,0,79.533232982819754,1,red135
4,80,75,55,135,l,1.0,2.1416806715496932,1.0,2,11.002281718750002,red135,1.0,93.475553673983086,4.6490151132951025,0,0,86.631002607118717,1,red135
5,80,75,55,135,j,1.0,1.4750393775975681,-1.0,2,11.002281718750002,red45,-1.0,100.07518021042415,-4.6490151132951025,0,0,93.731801277474005,1,red135
6,80,75,55,135,f,1.0,1.7500741938092688,1.0,1,11.002281718750002,red135,1.0,107.17484965240874,4.5067733561589307,0,0,100.33479126665407,1,red135
7,-80,75,55,135,s,1.0,1.9833700382478128,-1.0,1,-22.581403600263677,green135,-1.0,113.77443428110564,4.5067733561589307,0,0,107.4324306063354,3,green135
8,-80,75,55,135,j,0.0,1.091737475071568,-1.0,2,-22.581403600263677,green135,1.0,120.37408875603796,4.5067733561589307,0,0,114.03477230839053,3,green135
9,-80,75,55,45,j,1.0,1.791731345707376,-1.0,2,-22.581403600263677,red135,-1.0,127.47371115872011,-5.2561786463223701,0,0,120.6311383083812,2,green45
10,80,75,55,45,,,,,1,11.002281718750002,green45,,134.57325345204299,-5.135273152756624,0,0,127.72918332642075,0,red45
11,80,75,55,135,f,1.0,1.7083950902342622,1.0,1,11.002281718750002,green135,1.0,141.68126909189959,4.6490151132951025,0,0,134.83629609673517,1,red135
12,80,75,55,135,s,1.0,1.3250783632029197,-1.0,1,11.002281718750002,red135,-1.0,148.78090774452357,-4.6490151132951025,0,0,141.9396579815002,1,red135
13,-80,75,55,135,j,1.0,1.0917300628170779,-1.0,2,-22.581403600263677,green135,-1.0,155.38050121090782,-4.6490151132951025,0,0,149.04178601108288,3,green135
14,-80,75,55,135,f,1.0,1.7917099642072571,1.0,1,-22.581403600263677,green135,1.0,161.98849874775624,-4.6490151132951025,0,0,155.64169905964081,3,green135
15,80,75,55,45,l,1.0,1.4083464829564036,1.0,2,6.9149238431640647,red135,1.0,168.59647290749854,5.135273152756624,0,0,162.24973479810797,0,red45
16,80,75,55,135,j,1.0,1.6667162717494648,-1.0,2,6.9149238431640647,red135,-1.0,175.70441699059666,-4.6490151132951025,0,0,168.86163317610772,1,red135
17,-80,75,55,135,f,1.0,1.3167301697249059,1.0,1,-22.581403600263677,green135,1.0,182.80405222218178,4.6490151132951025,0,0,175.96544521275428,3,green135
18,-80,75,55,45,l,1.0,1.1584306548029417,1.0,2,-19.10714940601563,green45,1.0,189.41201754423673,5.135273152756624,0,0,183.06855764666761,2,green45
19,80,75,55,135,s,0.0,2.1916834511430352,-1.0,1,6.9149238431640647,red135,1.0,196.02000567322466,4.6490151132951025,0,0,189.67578003281233,1,red135
20,-80,75,55,45,s,0.0,2.6583404248631268,-1.0,1,-19.10714940601563,green45,1.0,202.61959885452234,-5.135273152756624,0,0,196.28054041032738,2,green45
